nid_a,nid_b,jaccard,dataset_a,dataset_b,label_a,label_b,cross_dataset,label_conflict,rows_a,rows_b
13,7528,0.8085,davidson2017,davidson2017,1,1,False,False,1,1
13,8663,0.5286,davidson2017,davidson2017,1,1,False,False,1,1
13,10658,0.5,davidson2017,davidson2017,1,1,False,False,1,1
13,12238,0.5,davidson2017,davidson2017,1,1,False,False,1,1
13,12402,0.5205,davidson2017,davidson2017,1,1,False,False,1,1
13,13220,0.6591,davidson2017,davidson2017,1,1,False,False,1,2
13,13221,0.9024,davidson2017,davidson2017,1,1,False,False,1,2
13,13223,0.7273,davidson2017,davidson2017,1,1,False,False,1,1
13,15864,0.5231,davidson2017,davidson2017,1,1,False,False,1,1
13,17605,0.623,davidson2017,davidson2017,1,1,False,False,1,1
13,17618,0.6667,davidson2017,davidson2017,1,1,False,False,1,1
13,17620,0.6667,davidson2017,davidson2017,1,1,False,False,1,1
13,17621,0.623,davidson2017,davidson2017,1,1,False,False,1,1
13,23766,0.7091,davidson2017,davidson2017,1,1,False,False,1,1
21,13779,0.7931,davidson2017,davidson2017,1,1,False,False,1,1
32,12240,0.6625,davidson2017,davidson2017,1,1,False,False,1,1
36,17665,0.5,davidson2017,davidson2017,1,1,False,False,1,1
41,9960,0.5614,davidson2017,davidson2017,0,1,False,False,1,1
52,11234,0.7313,davidson2017,davidson2017,1,1,False,False,1,1
69,6335,0.9259,davidson2017,davidson2017,1,1,False,False,1,1
101,6892,0.625,davidson2017,davidson2017,1,1,False,False,1,1
107,6919,0.6842,davidson2017,davidson2017,1,1,False,False,1,1
107,6926,0.5,davidson2017,davidson2017,1,1,False,False,1,1
107,6927,0.5385,davidson2017,davidson2017,1,1,False,False,1,1
107,6930,0.5185,davidson2017,davidson2017,1,1,False,False,1,1
107,6932,0.5769,davidson2017,davidson2017,1,1,False,False,1,1
111,6972,0.5,davidson2017,davidson2017,1,1,False,False,1,1
115,7000,0.5,davidson2017,davidson2017,1,1,False,False,1,1
133,7125,0.5652,davidson2017,davidson2017,1,1,False,False,1,1
133,7126,0.5417,davidson2017,davidson2017,1,1,False,False,1,1
146,6396,0.5,davidson2017,davidson2017,1,1,False,False,1,3
146,7444,0.5735,davidson2017,davidson2017,1,1,False,False,1,1
146,7445,0.5775,davidson2017,davidson2017,1,1,False,False,1,1
146,7446,0.5571,davidson2017,davidson2017,1,1,False,False,1,1
170,13778,0.623,davidson2017,davidson2017,1,1,False,False,1,1
192,8239,0.5176,davidson2017,davidson2017,1,1,False,False,1,1
195,8331,0.8974,davidson2017,davidson2017,1,1,False,False,1,1
195,8332,0.6889,davidson2017,davidson2017,1,1,False,False,1,1
195,8333,0.6596,davidson2017,davidson2017,1,1,False,False,1,1
196,8335,0.7755,davidson2017,davidson2017,1,1,False,False,1,1
201,20231,0.6714,davidson2017,davidson2017,1,1,False,False,1,1
235,15638,0.5116,davidson2017,davidson2017,1,1,False,False,1,1
308,10367,0.6078,davidson2017,davidson2017,1,1,False,False,1,1
309,19656,0.5957,davidson2017,davidson2017,0,0,False,False,1,1
340,21462,0.5667,davidson2017,davidson2017,1,1,False,False,1,1
340,21463,0.5484,davidson2017,davidson2017,1,1,False,False,1,1
344,4994,0.625,davidson2017,davidson2017,1,1,False,False,1,1
344,6642,0.5238,davidson2017,davidson2017,1,1,False,False,1,1
344,11192,0.575,davidson2017,davidson2017,1,1,False,False,1,2
344,11193,0.5476,davidson2017,davidson2017,1,1,False,False,1,1
344,11217,0.5938,davidson2017,davidson2017,1,1,False,False,1,1
344,11219,0.8929,davidson2017,davidson2017,1,1,False,False,1,10
344,11221,0.8333,davidson2017,davidson2017,1,1,False,False,1,1
344,11222,0.9286,davidson2017,davidson2017,1,1,False,False,1,1
344,11223,0.8065,davidson2017,davidson2017,1,1,False,False,1,1
344,11224,0.5556,davidson2017,davidson2017,1,1,False,False,1,1
344,11237,0.5366,davidson2017,davidson2017,1,1,False,False,1,1
344,12482,0.7143,davidson2017,davidson2017,1,1,False,False,1,1
344,21503,0.6,davidson2017,davidson2017,1,1,False,False,1,1
344,21504,0.6,davidson2017,davidson2017,1,1,False,False,1,1
344,21505,0.6207,davidson2017,davidson2017,1,1,False,False,1,1
344,21506,0.6333,davidson2017,davidson2017,1,1,False,False,1,1
344,21507,0.5806,davidson2017,davidson2017,1,1,False,False,1,1
344,24208,0.8065,davidson2017,davidson2017,1,1,False,False,1,1
344,24209,0.5952,davidson2017,davidson2017,1,1,False,False,1,1
350,11307,0.6154,davidson2017,davidson2017,1,1,False,False,1,1
357,406,0.6577,davidson2017,davidson2017,0,0,False,False,1,1
357,6455,0.7634,davidson2017,davidson2017,0,1,False,False,1,1
357,11360,0.9222,davidson2017,davidson2017,0,0,False,False,1,2
362,11480,0.8047,davidson2017,davidson2017,1,1,False,False,1,1
370,2353,0.55,davidson2017,davidson2017,1,1,False,False,1,1
370,11582,0.8438,davidson2017,davidson2017,1,1,False,False,1,2
370,22357,0.625,davidson2017,davidson2017,1,1,False,False,1,1
370,24263,0.7179,davidson2017,davidson2017,1,1,False,False,1,1
376,11762,0.9792,davidson2017,davidson2017,0,0,False,False,1,1
376,24288,0.9592,davidson2017,davidson2017,0,0,False,False,1,1
396,12054,0.9815,davidson2017,davidson2017,1,1,False,False,1,1
405,415,0.5769,davidson2017,davidson2017,1,1,False,False,1,1
406,6455,0.7872,davidson2017,davidson2017,0,1,False,False,1,1
406,11360,0.6698,davidson2017,davidson2017,0,0,False,False,1,2
523,12248,0.5192,davidson2017,davidson2017,1,1,False,False,1,1
558,19277,0.5185,davidson2017,davidson2017,1,1,False,False,1,1
580,8139,0.6989,davidson2017,davidson2017,1,1,False,False,1,1
594,4983,0.5625,davidson2017,davidson2017,1,1,False,False,1,1
594,5448,0.6923,davidson2017,davidson2017,1,1,False,False,1,1
